recombinations,back mutations,recurrent mutations,run seed,recombination cost,recurrent mutation cost,back mutation cost
10,6,0,80524421,0.5,1,1
4,1,7,688020399,0.5,1,1
9,1,6,555013701,0.5,1,1
7,1,5,445975878,0.5,1,1
5,4,6,1019038148,0.5,1,1
10,6,2,1991948354,0.5,1,1
5,3,4,973,0.5,1,1
6,10,5,821459744,0.5,1,1
10,3,6,979655734,0.5,1,1
7,2,5,39021707,0.5,1,1
10,3,3,80524421,0.5,1,1
4,4,3,688020399,0.5,1,1
6,1,8,555013701,0.5,1,1
4,15,9,445975878,0.5,1,1
8,1,5,1019038148,0.5,1,1
11,2,4,1991948354,0.5,1,1
7,3,3,973,0.5,1,1
6,9,5,821459744,0.5,1,1
9,2,5,979655734,0.5,1,1
7,3,3,39021707,0.5,1,1
10,3,3,80524421,0.5,1,1
4,4,3,688020399,0.5,1,1
6,1,8,555013701,0.5,1,1
4,2,7,445975878,0.5,1,1
8,1,5,1019038148,0.5,1,1
11,1,4,1991948354,0.5,1,1
5,3,6,973,0.5,1,1
6,7,6,821459744,0.5,1,1
9,3,6,979655734,0.5,1,1
7,3,3,39021707,0.5,1,1
10,3,3,80524421,0.5,1,1
4,4,3,688020399,0.5,1,1
8,2,5,555013701,0.5,1,1
4,2,7,445975878,0.5,1,1
8,2,5,1019038148,0.5,1,1
11,0,4,1991948354,0.5,1,1
2,4,5,973,0.5,1,1
7,2,7,821459744,0.5,1,1
7,5,5,979655734,0.5,1,1
4,3,4,39021707,0.5,1,1
10,3,3,80524421,0.5,1,1
5,3,5,688020399,0.5,1,1
9,1,6,555013701,0.5,1,1
7,1,7,445975878,0.5,1,1
5,5,6,1019038148,0.5,1,1
10,6,2,1991948354,0.5,1,1
7,5,1,973,0.5,1,1
6,6,6,821459744,0.5,1,1
10,3,6,979655734,0.5,1,1
7,2,5,39021707,0.5,1,1
10,3,3,80524421,0.5,1,1
4,2,5,688020399,0.5,1,1
8,2,5,555013701,0.5,1,1
4,5,9,445975878,0.5,1,1
7,1,7,1019038148,0.5,1,1
11,1,4,1991948354,0.5,1,1
5,3,6,973,0.5,1,1
6,5,6,821459744,0.5,1,1
10,3,5,979655734,0.5,1,1
7,3,3,39021707,0.5,1,1
10,3,3,80524421,0.5,1,1
4,4,3,688020399,0.5,1,1
6,1,8,555013701,0.5,1,1
